,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
591,00054327099,0054-3270,0054-3270-99,1797907,0d9a521b-8314-437c-8c9f-f6188f1134fe
595,11673043101,11673-431,11673-431-01,1537948,0d9ab04a-3952-450e-8fd7-17c9e278135d
599,70518338701,70518-3387,70518-3387-1,312935,0da6311d-9b6f-408f-855a-8dc069fc4c4f
601,24794010116,24794-101,24794-101-16,245593,0da6a9de-ad38-4c75-8e88-b68dfc638edc
602,00904659961,0904-6599,0904-6599-61,198076,0dc77ea9-32ee-4b6d-b69d-8c712bcf5fe4
603,00904660061,0904-6600,0904-6600-61,198077,0dc77ea9-32ee-4b6d-b69d-8c712bcf5fe4
604,00904660161,0904-6601,0904-6601-61,198078,0dc77ea9-32ee-4b6d-b69d-8c712bcf5fe4
605,49348095344,49348-953,49348-953-44,308761,0dd0efab-911d-48c4-8236-a0be35c19d96
606,68400013515,68400-135,68400-135-15,656838,0dedcb47-7851-4fde-8a46-7d1155839a57
607,68001051206,68001-512,68001-512-06,895670,0df19623-5cd5-4544-b02a-84ec7fddf87d
608,68001051306,68001-513,68001-513-06,721791,0df19623-5cd5-4544-b02a-84ec7fddf87d
609,68001051406,68001-514,68001-514-06,721794,0df19623-5cd5-4544-b02a-84ec7fddf87d
610,68001051506,68001-515,68001-515-06,721796,0df19623-5cd5-4544-b02a-84ec7fddf87d
611,50488090101,50488-0901,50488-0901-1,2106884,0df9abaf-3997-4dde-8003-ae3d8d07cf39
614,00990767003,0990-7670,0990-7670-03,800988,0e089a44-0cee-4804-8f6f-8508508ddb5c
616,00113001934,0113-0019,0113-0019-34,1431245,0e3c36c9-d45b-41b9-891d-a42d854295f9
618,69842048001,69842-480,69842-480-01,562600,0e46f4a5-e60e-4329-8105-bf67e44482f2
619,11822332203,11822-3322,11822-3322-3,314119,0e564f33-4781-4f91-a2ac-a76d927b250b
621,45802050514,45802-505,45802-505-14,197405,0e56e8bc-b79e-43c6-945e-c333a599bfc8
623,00065401303,0065-4013,0065-4013-03,404473,0e6ab6ba-5eeb-4faf-ba80-4bf21a74228a
624,29300015716,29300-157,29300-157-16,686379,0e8484a8-04a6-4be3-8c5c-1883b0490d53
625,29300015801,29300-158,29300-158-01,205322,0e8484a8-04a6-4be3-8c5c-1883b0490d53
627,29300037301,29300-373,29300-373-01,205323,0e8484a8-04a6-4be3-8c5c-1883b0490d53
