ndc11,ndc9,unit_price,year,generic_brand
29300015501,293000155,0.11588,2022,1
29300015519,293000155,0.11588,2022,1
47335095618,473350956,0.11588,2022,1
47335095688,473350956,0.11588,2022,1
57237011490,572370114,0.11588,2022,1
60505285001,605052850,0.11588,2022,1
69097084407,690970844,0.11588,2022,1
69097084412,690970844,0.11588,2022,1
76282030201,762820302,0.11588,2022,1
76282030205,762820302,0.11588,2022,1
76282030290,762820302,0.11588,2022,1
49884042411,498840424,5.56192,2022,1
66993014130,669930141,5.56192,2022,1
49884042511,498840425,6.96053,2022,1
66993014230,669930142,6.96053,2022,1
24385099865,243850998,0.06637,2022,1
24385099874,243850998,0.06637,2022,1
24385099875,243850998,0.06637,2022,1
70000004701,700000047,0.06637,2022,1
70000038001,700000380,0.06637,2022,1
70000038002,700000380,0.06637,2022,1
70000038004,700000380,0.06637,2022,1
46122062662,461220626,0.61584,2022,1
69230031301,692300313,0.06173,2022,1
69230031305,692300313,0.06173,2022,1
69230031350,692300313,0.06173,2022,1
70000017101,700000171,0.06173,2022,1
70000017103,700000171,0.06173,2022,1
70000017105,700000171,0.06173,2022,1
70000017106,700000171,0.06173,2022,1
70000020102,700000201,0.06173,2022,1
70000020103,700000201,0.06173,2022,1
70000020105,700000201,0.06173,2022,1
70000020106,700000201,0.06173,2022,1
536109301,5361093,0.06173,2022,1
536109306,5361093,0.06173,2022,1
536109311,5361093,0.06173,2022,1
536109401,5361094,0.06173,2022,1
536109406,5361094,0.06173,2022,1
536109411,5361094,0.06173,2022,1
904646509,9046465,0.01389,2022,1
536100601,5361006,0.01733,2022,1
536100610,5361006,0.01733,2022,1
49483006101,494830061,0.03549,2022,1
49483006110,494830061,0.03549,2022,1
51660052601,516600526,0.05697,2022,1
51660052605,516600526,0.05697,2022,1
51660052631,516600526,0.05697,2022,1
51660052653,516600526,0.05697,2022,1
69230031201,692300312,0.05697,2022,1
69230031203,692300312,0.05697,2022,1
69230031230,692300312,0.05697,2022,1
69230031701,692300317,0.05697,2022,1
69230031703,692300317,0.05697,2022,1
69230032803,692300328,0.05697,2022,1
70000020701,700000207,0.03031,2022,1
70000020702,700000207,0.03031,2022,1
24385047978,243850479,0.03549,2022,1
904001224,9040012,0.01733,2022,1
904001259,9040012,0.01733,2022,1
904001261,9040012,0.01733,2022,1
904001280,9040012,0.01733,2022,1
46122035626,461220356,0.0161,2022,1
46122040662,461220406,0.08313,2023,1
70000021101,700000211,0.08313,2022,1
70000021301,700000213,0.05697,2022,1
70000021302,700000213,0.05697,2022,1
70000021303,700000213,0.05697,2022,1
70000021304,700000213,0.05697,2022,1
70000021306,700000213,0.05697,2022,1
70000058301,700000583,0.05697,2022,1
69230020201,692300202,0.26148,2022,1
69230020230,692300202,0.26148,2022,1
69230030001,692300300,0.26148,2022,1
69230030005,692300300,0.26148,2022,1
69230030030,692300300,0.26148,2022,1
70000036101,700000361,0.26148,2022,1
